,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,1,1,-1.0,429,0,883
1,-1,-1,-1.0,454,0,883
2,1,1,-1.0,356,1,883
3,-1,-1,-1.0,527,1,883
4,1,1,-1.0,444,2,883
5,-1,-1,-1.0,439,2,883
6,1,1,-1.0,430,3,883
7,-1,-1,-1.0,453,3,883
8,1,1,-1.0,423,4,883
9,-1,-1,-1.0,460,4,883
10,1,1,-1.0,347,5,883
11,-1,-1,-1.0,536,5,883
12,-1,-1,-1.0,451,6,883
13,1,1,-1.0,432,6,883
14,1,1,-1.0,461,7,883
15,-1,-1,-1.0,422,7,883
16,1,1,-1.0,473,8,883
17,-1,-1,-1.0,410,8,883
18,1,1,-1.0,400,9,883
19,-1,-1,-1.0,483,9,883
20,1,1,-1.0,168,10,362
21,-1,-1,-1.0,194,10,362
